"Person ID",Name,Party,URI
24696,"Lord Aberdare",Crossbench,https://www.theyworkforyou.com/peer/24696/lord_aberdare
10003,"Baroness Adams of Craigielea",Labour,https://www.theyworkforyou.com/peer/10003/baroness_adams_of_craigielea
13368,"Lord Addington","Liberal Democrat",https://www.theyworkforyou.com/peer/13368/lord_addington
13369,"Lord Adebowale",Crossbench,https://www.theyworkforyou.com/peer/13369/lord_adebowale
13178,"Lord Adonis",Labour,https://www.theyworkforyou.com/peer/13178/lord_adonis
25718,"Lord Agnew of Oulton",Conservative,https://www.theyworkforyou.com/peer/25718/lord_agnew_of_oulton
25040,"Lord Ahmad of Wimbledon",Conservative,https://www.theyworkforyou.com/peer/25040/lord_ahmad_of_wimbledon
13371,"Lord Alderdice","Liberal Democrat",https://www.theyworkforyou.com/peer/13371/lord_alderdice
10007,"Lord Allan of Hallam","Liberal Democrat",https://www.theyworkforyou.com/peer/10007/lord_allan_of_hallam
25215,"Lord Allen of Kensington",Labour,https://www.theyworkforyou.com/peer/25215/lord_allen_of_kensington
13104,"Lord Alli",Labour,https://www.theyworkforyou.com/peer/13104/lord_alli
13445,"Lord Alliance","Liberal Democrat",https://www.theyworkforyou.com/peer/13445/lord_alliance
25445,"Baroness Altmann",Conservative,https://www.theyworkforyou.com/peer/25445/baroness_altmann
13103,"Lord Alton of Liverpool",Crossbench,https://www.theyworkforyou.com/peer/13103/lord_alton_of_liverpool
26035,"Lord Altrincham",Conservative,https://www.theyworkforyou.com/peer/26035/lord_altrincham
13102,"Baroness Amos",Labour,https://www.theyworkforyou.com/peer/13102/baroness_amos
25736,"Lord Anderson of Ipswich",Crossbench,https://www.theyworkforyou.com/peer/25736/lord_anderson_of_ipswich
25435,"Baroness Anderson of Stoke-on-Trent",Labour,https://www.theyworkforyou.com/peer/25435/baroness_anderson_of_stoke-on-trent
10011,"Lord Anderson of Swansea",Labour,https://www.theyworkforyou.com/peer/10011/lord_anderson_of_swansea
13108,"Baroness Andrews",Labour,https://www.theyworkforyou.com/peer/13108/baroness_andrews
13107,"Baroness Anelay of St Johns",Conservative,https://www.theyworkforyou.com/peer/13107/baroness_anelay_of_st_johns
10013,"Lord Arbuthnot of Edrom",Conservative,https://www.theyworkforyou.com/peer/10013/lord_arbuthnot_of_edrom
10014,"Baroness Armstrong of Hill Top",Labour,https://www.theyworkforyou.com/peer/10014/baroness_armstrong_of_hill_top
12883,"the Earl of Arran",Conservative,https://www.theyworkforyou.com/peer/12883/earl_of_arran
26100,"Lord Ashcombe",Conservative,https://www.theyworkforyou.com/peer/26100/lord_ashcombe
25146,"Lord Ashton of Hyde",Conservative,https://www.theyworkforyou.com/peer/25146/lord_ashton_of_hyde
12879,"Baroness Ashton of Upholland",Non-affiliated,https://www.theyworkforyou.com/peer/12879/baroness_ashton_of_upholland
